pathway	pval	padj	ES	NES	nMoreExtreme	size
5991201	7.61081344374087e-05	0.000910191158782071	0.753033176653084	2.15693520110975	4	16
5991348	7.61081344374087e-05	0.000910191158782071	0.753033176653084	2.15693520110975	4	16
5991130	0.000113117906564609	0.00132574186493722	0.453750608402058	1.94239347825183	8	108
5991448	0.000136286201022146	0.00156595517252898	0.531689249230104	2.0121478459578	9	54
5992320	0.000142772159428911	0.00160893241202581	-0.453561234336851	-1.99886148729635	5	68
5991129	0.000176486902150619	0.00195134574830684	0.454296083100451	1.93567717958628	13	105
5991344	0.000183936235438381	0.00195975698121621	0.748407755653039	2.10647488470979	11	15
5991355	0.000183936235438381	0.00195975698121621	0.748407755653039	2.10647488470979	11	15
5991364	0.000213102776424744	0.00222996833901607	0.742481436754735	2.12671154041945	13	16
5991000	0.000229920294297977	0.00236374197295815	0.741784637660063	2.08783340003075	14	15
5991003	0.000264857786083195	0.00263062140075851	0.667547493167619	2.09488994789777	17	23
5991004	0.000264857786083195	0.00263062140075851	0.667547493167619	2.09488994789777	17	23
5991124	0.000354452813469207	0.00346182247821592	0.442681917852762	1.8741546112271	27	101
5991365	0.000379052066591867	0.00364138542660384	0.712325386949877	2.07284960004998	24	17
5992218	0.000406779661016949	0.00384472389283762	0.702021200590048	2.07382823342122	26	18
5991358	0.000424142172456207	0.00394519544538631	0.581422000387421	2.03478901067983	29	37
5991352	0.000469717875700907	0.00421892127900712	0.646830777049759	2.05000351415353	31	24
5991361	0.000469717875700907	0.00421892127900712	0.646830777049759	2.05000351415353	31	24
5991624	0.000475168608215819	0.00421892127900712	0.728873997559629	2.05149500172894	30	15
5992394	0.00048557260781919	0.00424694848032904	0.653723003217603	2.05150609082765	32	23
5991079	0.000536480686695279	0.0046232012118152	0.723420334152538	2.03614507395237	34	15
5991359	0.000547978567949342	0.00465384696838137	0.711468403381811	2.03787999162559	35	16
5991595	0.000766189166632462	0.00638104030073405	0.514853294735835	1.92772082943061	55	51
