GSM357839	GSM357841	GSM357842	GSM357843	GSM357844	GSM357845	GSM357847	GSM357848	GSM357849	GSM357850	GSM357852	GSM357853
67530	15.2172614845618	15.1728285135007	14.9911681429406	15.0984131667685	15.0490933055012	15.0692778750485	15.0742604151592	14.9664742707163	15.5425807521693	15.6127539304917	15.5213231628594	15.4123502540117
12631	15.5069881093305	15.3983208275082	15.34733858447	15.2558519351736	15.2847338607983	15.4271991738496	14.7352680525523	14.776747323457	15.2128068429853	15.2172614845618	15.249886253062	15.239575121011
16432	15.5213231628594	15.621992623465	15.2260921812687	15.2902193870882	15.1888051115527	15.2847338607983	15.2779954377194	15.2172614845618	14.2660386616434	14.2458102224143	15.7557526097735	15.734689871486
665506	15.0945203498117	15.0984131667685	15.3422980055921	15.4653943766098	15.34733858447	15.4572432841869	15.4436469907418	15.4822848823259	14.4537118202223	14.469419214161	15.3844450709459	15.3687765273229
22352	15.9516314684946	15.9265052947575	15.8932638975321	15.5932224327561	15.8740546420299	15.5651342846647	13.7283071716211	13.7063728087267	15.5471955130827	15.4822848823259	14.3673222175228	14.7075906764413
55949	15.1728285135007	15.1030542899103	15.1403317751716	15.249886253062	15.3141350675939	15.3687765273229	15.2260921812687	15.249886253062	15.1566936062448	15.1924288296211	15.0490933055012	15.0620087924708
16828	15.6476779099165	15.6431543218358	15.4759965507668	15.4955883795769	15.4822848823259	15.4722371177694	14.5194416926315	14.4764707769819	15.6709702919734	15.6396553388965	14.1160526513842	14.281763509985
12861	15.1888051115527	15.2128068429853	15.0237818573199	14.9715398500176	14.9617516340735	14.9998342003533	15.2348941095766	15.1403317751716	15.5120408184718	15.3533000050284	14.9664742707163	15.0692778750485
18103	15.0540172573208	15.1403317751716	14.8529780654596	14.7075906764413	14.8217467689879	14.7387309416897	15.1349538482821	14.9181581994071	15.8501625648777	15.8163786909536	15.2558519351736	15.2172614845618
13690	14.8329642715343	14.877792850116	14.7735660934005	14.976990298492	14.8380786034785	14.976990298492	15.2068761649696	15.3533000050284	15.3749274491387	15.3880943805593	15.3300007377537	15.4052299529854
